id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,tmdb_popularity,tmdb_score
ts37660,Reply 1988,SHOW,2015,TV-14,95,"['comedy', 'drama', 'family', 'romance']",['KR'],tt5182866,9.2,15.317,8.7
ts41258,Cinderella and Four Knights,SHOW,2016,TV-PG,61,"['comedy', 'drama', 'romance']",['KR'],tt5764414,7.5,23.344,7.2
tm308241,Legends of the Hidden Temple,MOVIE,2016,PG,68,['family'],['US'],tt5333842,5.7,6.75,6.8
ts81483,Simon,SHOW,2016,TV-Y,5,"['animation', 'comedy', 'family']",['FR'],tt7699866,7.0,2.878,9.5
ts37896,Conspiracy,SHOW,2015,TV-14,43,"['documentation', 'history', 'european']",['GB'],tt4761054,6.2,2.731,5.8
ts21979,Spotless,SHOW,2015,TV-MA,58,"['drama', 'comedy', 'crime', 'european']",['FR'],tt10800582,7.7,9.159,7.0
tm205870,Message from the King,MOVIE,2016,R,102,"['thriller', 'drama', 'action', 'crime', 'european']",['FR'],tt1712192,6.4,10.978,6.3
ts36547,Club de Cuervos,SHOW,2015,TV-MA,44,"['comedy', 'drama']",['MX'],tt4680240,8.2,31.739,8.4
ts84398,Little Things,SHOW,2016,TV-MA,25,"['comedy', 'drama', 'romance']",['IN'],tt6522580,8.2,8.807,7.8
ts77654,Care Bears and Cousins,SHOW,2015,TV-Y,23,['animation'],['US'],tt4680360,6.8,4.256,9.3
tm232953,Sleight,MOVIE,2016,R,89,"['thriller', 'crime', 'drama', 'scifi', 'action']",['US'],tt4573516,5.9,8.409,5.4
tm233493,Middle School: The Worst Years of My Life,MOVIE,2016,PG,92,"['comedy', 'family', 'animation']",['US'],tt4981636,6.0,15.219,6.9
ts39014,Kuromukuro,SHOW,2016,TV-14,24,"['comedy', 'drama', 'action', 'scifi', 'animation']",['JP'],tt5895314,7.2,5.73,6.6
tm140436,Rock the Kasbah,MOVIE,2015,R,100,"['comedy', 'music', 'war']","['MA', 'US']",tt3165590,5.5,11.689,5.4
ts38764,Marseille,SHOW,2016,TV-MA,46,"['drama', 'european']",['FR'],tt4003966,6.9,7.729,6.6
ts54110,Puffin Rock,SHOW,2015,TV-Y,11,"['animation', 'family', 'comedy', 'european']",['IE'],tt3590338,8.7,5.367,7.6
ts54156,Chef's Table: France,SHOW,2016,TV-14,60,['documentation'],['US'],tt6088326,8.2,2.151,8.5
ts38230,The Method,SHOW,2015,TV-MA,51,"['drama', 'thriller', 'crime']",['RU'],tt5135336,7.4,6.495,7.8
ts51368,Skylanders Academy,SHOW,2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy']",['US'],tt5916218,6.7,18.291,6.1
tm209950,Kevin Hart: What Now?,MOVIE,2016,R,96,"['comedy', 'documentation']",['US'],tt4669186,5.9,8.106,6.5
tm205935,Extraction,MOVIE,2015,R,92,"['thriller', 'action']","['GB', 'US']",tt4382872,4.1,19.682,4.6
tm271070,The Warriors Gate,MOVIE,2016,PG-13,108,"['action', 'comedy', 'family', 'fantasy', 'european']","['CA', 'CN', 'FR']",tt4652532,5.4,18.103,6.7
tm211510,Incarnate,MOVIE,2016,PG-13,91,"['horror', 'thriller']",['US'],tt3216348,5.2,14.776,5.4
tm219173,Term Life,MOVIE,2016,R,93,"['thriller', 'action', 'crime', 'drama']",['US'],tt2978102,5.6,20.41,5.9
tm218052,Drishyam,MOVIE,2015,R,163,"['thriller', 'crime', 'drama']",['IN'],tt4430212,8.2,7.871,7.8
tm229542,John Mulaney: The Comeback Kid,MOVIE,2015,PG,62,"['comedy', 'documentation']",['US'],tt5069564,7.9,4.657,7.8
ts66540,"Can't Cope, Won't Cope",SHOW,2016,TV-MA,23,"['drama', 'comedy', 'european']",['IE'],tt5674872,7.3,1.537,6.8
ts75829,Lego Bionicle: The Journey to One,SHOW,2016,TV-Y7,17,"['animation', 'action', 'fantasy', 'scifi']",['US'],tt5075942,5.5,1.4,7.3
ts35360,Inspector Gadget,SHOW,2015,TV-Y,21,"['action', 'comedy', 'family', 'scifi', 'animation']","['CA', 'US']",tt3910690,4.5,9.398,6.9
tm266844,True Memoirs of an International Assassin,MOVIE,2016,PG-13,98,"['action', 'comedy', 'crime']",['US'],tt1542768,5.9,12.817,5.8
tm238748,The Darkness,MOVIE,2016,PG-13,92,"['thriller', 'horror']",['US'],tt1878841,4.5,14.011,4.8
ts42089,Haters Back Off,SHOW,2016,TV-14,30,"['comedy', 'drama', 'family', 'romance']",['US'],tt5467814,6.1,8.147,6.4
ts42075,Intersection,SHOW,2016,TV-MA,97,['drama'],['TR'],tt5303668,6.7,10.782,5.4
ts43272,Terrace House: Boys & Girls in the City,SHOW,2015,TV-14,29,"['reality', 'drama']",['JP'],tt4790546,8.1,4.264,8.0
ts41883,The K2,SHOW,2016,TV-14,65,"['war', 'drama', 'romance', 'thriller']",['KR'],tt8535796,7.9,74.751,7.5
ts36630,Dinotrux,SHOW,2015,TV-Y7,23,"['action', 'comedy', 'family', 'animation']",['US'],tt1396212,6.8,18.042,7.1
ts41260,"Hello, My Twenties!",SHOW,2016,TV-14,63,"['comedy', 'drama', 'romance']",['KR'],tt5858892,8.3,15.225,7.3
ts39017,Dawn of the Croods,SHOW,2015,TV-Y7,23,"['comedy', 'family', 'animation']",['US'],tt5193172,5.8,43.241,7.7
ts38757,Kong: King of the Apes,SHOW,2016,TV-Y7,21,"['animation', 'scifi', 'action', 'comedy', 'family']",['US'],tt5462936,5.9,11.297,6.5
tm290444,Pandora,MOVIE,2016,R,136,"['drama', 'action', 'thriller']",['KR'],tt6302160,6.6,38.145,7.5
